Registrikood;Nimi;Tööjõumaksud Ja Maksed;Tootajaid;YearQ
10622346;USS SECURITY EESTI AS;1089398;1026;18ii
10183757;BIGBANK AS;1089072;251;18iv
10011039;OLYMPIC CASINO EESTI AS;1088575;555;18i
10069046;TELE2 EESTI AS;1087679;357;18i
10100168;IF P&C INSURANCE AS;1087333;257;18ii
10399457;HOOLEKANDETEENUSED AS;1085898;914;18iv
10586863;AS EKSPRESS MEEDIA;1084552;353;18iii
90006006;ETTEVÕTLUSE ARENDAMISE SIHTASUTUS;1081802;293;18iii
10622346;USS SECURITY EESTI AS;1080849;1047;18i
11267031;ORKLA EESTI AS;1075739;639;18ii
74000033;RAHVUSOOPER ESTONIA;1070567;720;18iv
10715645;VOPAK E.O.S. AS;1070477;224;18ii
10261303;VALIO EESTI AS;1070126;468;18iii
10586863;AS EKSPRESS MEEDIA;1068173;353;18iv
12214574;FORTACO ESTONIA OÜ;1062934;519;18i
10449400;LTH-BAAS AS;1058854;442;18iii
10183757;BIGBANK AS;1058739;246;18iii
74000033;RAHVUSOOPER ESTONIA;1054801;633;18ii
70001113;TALLINNA VANGLA;1052923;500;18i
10239452;AKTSIASELTS FUJITSU ESTONIA;1048746;361;18ii
12417834;TAXIFY OÜ;1047719;266;18iv
75025064;RAKVERE LINNAVALITSUS;1047143;76;18i
10277820;EESTI KESKKONNATEENUSED AS;1047019;554;18i
10031220;ISS EESTI AS;1046959;1482;18iii
10047362;TREV-2 GRUPP AS;1046672;367;18i
74000033;RAHVUSOOPER ESTONIA;1043913;672;18iii
11516178;FINESTA BALTIC OÜ;1040961;723;18iv
10277820;EESTI KESKKONNATEENUSED AS;1040711;501;18iii
75014920;TALLINNA LINNAKANTSELEI;1038841;348;18iv
10099962;NORDECON AS;1038557;279;18ii
70008144;VIRU VANGLA;1034332;403;18i
10261303;VALIO EESTI AS;1033794;463;18i
90006006;ETTEVÕTLUSE ARENDAMISE SIHTASUTUS;1032078;330;18ii
10535771;TERVE PERE APTEEK OÜ;1031323;538;18iii
90007141;TARTU KIIRABI SIHTASUTUS;1030751;457;18iv
75014920;TALLINNA LINNAKANTSELEI;1030326;359;18ii
10261303;VALIO EESTI AS;1028665;472;18ii
11016903;EURO WORK OÜ;1027303;288;18iii
10011039;OLYMPIC CASINO EESTI AS;1027277;485;18iv
77000507;VALGA VALLAVALITSUS;1022090;226;18iii
10136870;OLEREX AS;1021588;742;18ii
10535771;TERVE PERE APTEEK OÜ;1015279;543;18iv
